Timestamp,Strategy,Symbol,StartDate,EndDate,Interval,BarLength,Set,PercentIncrease,Ntrades
1586902236,Scalp,ARE,2020-04-07,2020-04-14,1m,1408,IBD50_2020-04-13,2.67,1
1586902237,Scalp,MSFT,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,0.29,1
1586902239,Scalp,BMY,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,2.31,1
1586902240,Scalp,AUDC,2020-04-07,2020-04-14,1m,1236,IBD50_2020-04-13,-4.01,1
1586902242,Scalp,BX,2020-04-07,2020-04-14,1m,1556,IBD50_2020-04-13,-1.08,3
1586902245,Scalp4,KRC,2020-04-07,2020-04-14,1m,1410,IBD50_2020-04-13,-0.28,1
1586902246,Scalp4,EPAM,2020-04-07,2020-04-14,1m,1047,IBD50_2020-04-13,0.00,0
1586902248,Scalp4,NOW,2020-04-07,2020-04-14,1m,1552,IBD50_2020-04-13,8.62,2
1586902249,Scalp4,TW,2020-04-07,2020-04-14,1m,1332,IBD50_2020-04-13,-4.49,1
1586902251,Scalp4,VEEV,2020-04-07,2020-04-14,1m,1499,IBD50_2020-04-13,6.06,1
1586902254,Scalpy,AMAT,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,-2.82,1
1586902255,Scalpy,FTNT,2020-04-07,2020-04-14,1m,1555,IBD50_2020-04-13,-1.13,1
1586902257,Scalpy,ALXN,2020-04-07,2020-04-14,1m,1554,IBD50_2020-04-13,0.02,1
1586902259,Scalpy,KLAC,2020-04-07,2020-04-14,1m,1526,IBD50_2020-04-13,0.92,1
1586902260,Scalpy,ZM,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,13.06,2
1586902263,Scalpy3,NFLX,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,-0.25,3
1586902265,Scalpy3,TSM,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,-6.24,6
1586902266,Scalpy3,KL,2020-04-07,2020-04-14,1m,1555,IBD50_2020-04-13,4.38,7
1586902268,Scalpy3,AMED,2020-04-07,2020-04-14,1m,902,IBD50_2020-04-13,0.96,4
1586902270,Scalpy3,REGN,2020-04-07,2020-04-14,1m,1452,IBD50_2020-04-13,0.27,5
1586902272,Scalpy2,MSFT,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,0.70,1
1586902274,Scalpy2,QLYS,2020-04-07,2020-04-14,1m,1354,IBD50_2020-04-13,20.57,1
1586902275,Scalpy2,ZM,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,17.77,2
1586902277,Scalpy2,TSM,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,-3.00,1
1586902278,Scalpy2,EPAM,2020-04-07,2020-04-14,1m,1047,IBD50_2020-04-13,0.00,0
1586902281,Scalp2,SEDG,2020-04-07,2020-04-14,1m,1470,IBD50_2020-04-13,-0.06,1
1586902283,Scalp2,ASML,2020-04-07,2020-04-14,1m,1378,IBD50_2020-04-13,-0.64,1
1586902284,Scalp2,BABA,2020-04-07,2020-04-14,1m,1557,IBD50_2020-04-13,0.71,1
1586902286,Scalp2,HII,2020-04-07,2020-04-14,1m,1032,IBD50_2020-04-13,0.83,1
1586902288,Scalp2,FTNT,2020-04-07,2020-04-14,1m,1555,IBD50_2020-04-13,-1.88,1
